seq_num	parent_seq_num	max_status	
18260	18160	HR	
18350	18265	HR	
18420	18355	HR	
18485	18425	TS	
18575	18490	HR	
18605	18580	TS	
18645	18610	TS	
18685	18650	HR	
18730	18690	TS	
18770	18735	TS	
18800	18775	TS	
18830	18805	TS	
18875	18835	TS	
18905	18880	HR	
18955	18910	HR	
19020	18960	HR	
19060	19025	TS	
19090	19065	TS	
19165	19095	HR	
19190	19170	TS	
19285	19195	HR	
19325	19290	HR	
19360	19330	TS	
19395	19365	TS	
19435	19400	HR	
19490	19440	TS	
19550	19495	HR	
19585	19555	TS	
19640	19590	HR	
19670	19645	TS	
19700	19675	TS	
19760	19705	HR	
19800	19765	TS	
19850	19805	HR	
19895	19855	HR	
19940	19900	TS	
19980	19945	TS	
20045	19985	HR	
20085	20050	HR	
20170	20090	HR	
20225	20175	TS	
20270	20230	HR	
20325	20275	HR	
20385	20330	HR	
20425	20390	TS	
20470	20430	TS	
20535	20475	TS	
20575	20540	TS	
20610	20580	TS	
20650	20615	HR	
20700	20655	HR	
20750	20705	HR	
20815	20755	HR	
20870	20820	HR	
20895	20875	TS	
20995	20900	TS	
21035	21000	HR	
21095	21040	HR	
21120	21100	HR	
21155	21125	TS	
21195	21160	HR	
21300	21200	HR	
21390	21305	HR	
21435	21395	HR	
21470	21440	TS	
21535	21475	HR	
21575	21540	TS	
21650	21580	HR	
21725	21655	HR	
21760	21730	HR	
21785	21765	TS	
21840	21790	HR	
21880	21845	HR	
21925	21885	HR	
21955	21930	TS	
22015	21960	HR	
22070	22020	HR	
22100	22075	TS	
22160	22105	HR	
22225	22165	HR	
22265	22230	TS	
22320	22270	TS	
22360	22325	TS	
22415	22365	HR	
22480	22420	HR	
22525	22485	HR	
22560	22530	HR	
22590	22565	HR	
22635	22595	TS	
22680	22640	HR	
22720	22685	TS	
22750	22725	TS	
22835	22755	HR	
22865	22840	HR	
22895	22870	TS	
22935	22900	TS	
22995	22940	HR	
23045	23000	HR	
23085	23050	HR	
23120	23090	TS	
23160	23125	HR	
23225	23165	HR	
23260	23230	HR	
23330	23265	HR	
23375	23335	HR	
23435	23380	TS	
23500	23440	HR	
23545	23505	TS	
23580	23550	TS	
23670	23585	HR	
23720	23675	HR	
23790	23725	HR	
23830	23795	TS	
23880	23835	TS	
23940	23885	HR	
23975	23945	TS	
24015	23980	HR	
24080	24020	HR	
24120	24085	HR	
24155	24125	TS	
24195	24160	TS	
24225	24200	TS	
24255	24230	TS	
24280	24260	TS	
24355	24285	HR	
24425	24360	HR	
24470	24430	HR	
24495	24475	TS	
24565	24500	TS	
24600	24570	TS	
24635	24605	TS	
24695	24640	HR	
24755	24700	HR	
24785	24760	HR	
24815	24790	TS	
24835	24820	TS	
24890	24840	TS	
24960	24895	HR	
25025	24965	HR	
25075	25030	HR	
25205	25080	HR	
25240	25210	HR	
25285	25245	TS	
25355	25290	HR	
25420	25360	HR	
25445	25425	TS	
25530	25450	HR	
25565	25535	TS	
25635	25570	HR	
25695	25640	HR	
25745	25700	HR	
25800	25750	HR	
25835	25805	TS	
25865	25840	TS	
25905	25870	TS	
25930	25910	TS	
25995	25935	HR	
26060	26000	HR	
26110	26065	TS	
26200	26115	HR	
26240	26205	TS	
26280	26245	HR	
26310	26285	HR	
26405	26315	HR	
26440	26410	TS	
26480	26445	TS	
26515	26485	HR	
26595	26520	HR	
26705	26600	HR	
26735	26710	TS	
26765	26740	TS	
26810	26770	TS	
26865	26815	TS	
26905	26870	TS	
26955	26910	HR	
27010	26960	HR	
27035	27015	TS	
27070	27040	TS	
27100	27075	TS	
27145	27105	TS	
27175	27150	HR	
27235	27180	HR	
27320	27240	HR	
27375	27325	TS	
27405	27380	TS	
27460	27410	HR	
27530	27465	TS	
27565	27535	TS	
27655	27570	HR	
27705	27660	HR	
27745	27710	TS	
27810	27750	HR	
27855	27815	TS	
27900	27860	TS	
27970	27905	HR	
28025	27975	TS	
28065	28030	TS	
28125	28070	HR	
28175	28130	TS	
28205	28180	TS	
28260	28210	HR	
28310	28265	HR	
28390	28315	HR	
28430	28395	HR	
28490	28435	HR	
28520	28495	TS	
28545	28525	TS	
28600	28550	HR	
28680	28605	HR	
28715	28685	TS	
28740	28720	TS	
28775	28745	TS	
28875	28780	HR	
28915	28880	HR	
28945	28920	TS	
28990	28950	HR	
29025	28995	HR	
29070	29030	TS	
29095	29075	HR	
29135	29100	TS	
29170	29140	TS	
29225	29175	HR	
29280	29230	HR	
29355	29285	HR	
29380	29360	TS	
29440	29385	HR	
29495	29445	HR	
29555	29500	HR	
29595	29560	TS	
29625	29600	TS	
29650	29630	HR	
29670	29655	TS	
29710	29675	HR	
29755	29715	TS	
29795	29760	TS	
29830	29800	HR	
29860	29835	TS	
29885	29865	HR	
29945	29890	HR	
29965	29950	TS	
30065	29970	HR	
30100	30070	TS	
30145	30105	HR	
30170	30150	TS	
30205	30175	TS	
30250	30210	TS	
30310	30255	TS	
30350	30315	HR	
30395	30355	HR	
30435	30400	TS	
30490	30440	HR	
30530	30495	TS	
30570	30535	TS	
30590	30575	TS	
30630	30595	HR	
30670	30635	HR	
30745	30675	HR	
30790	30750	TS	
30820	30795	TS	
30845	30825	TS	
30880	30850	TS	
30920	30885	TS	
31000	30925	HR	
31030	31005	TS	
31075	31035	HR	
31130	31080	HR	
31185	31135	TS	
31245	31190	HR	
31310	31250	HR	
31345	31315	HR	
31405	31350	HR	
31450	31410	TS	
31480	31455	TS	
31505	31485	TS	
31545	31510	TS	
31605	31550	HR	
31655	31610	HR	
31705	31660	HR	
31775	31710	HR	
31825	31780	TS	
31870	31830	HR	
31935	31875	HR	
31990	31940	HR	
